driver_id,archetype,driver_age,vehicle_value,annual_mileage,hard_braking_per_100mi,rapid_accel_per_100mi,speeding_pct,phone_distraction_min_hr,harsh_cornering_per_100mi,night_driving_pct,driving_score,risk_tier,traditional_premium,dynamic_ubi_premium,annual_savings,discount_pct,has_claim,claim_amount
DRV-1035,Distracted Urbanite,21,46466.0,12600.0,6.16,4.08,17.4,12.9,2.99,12.3,36.0,High Risk (Non-Standard),2423.77,2880.59,-456.82,-18.8,0,0.0
DRV-1036,Night Shift Worker,31,30613.0,14599.0,1.68,1.37,6.0,2.3,1.35,38.8,82.9,Low Risk (Preferred),1368.86,1215.97,152.89,11.2,0,0.0
DRV-1037,Night Shift Worker,35,37641.0,14078.0,1.68,1.66,4.0,2.1,1.52,52.4,83.9,Low Risk (Preferred),1565.67,1362.08,203.59,13.0,0,0.0
DRV-1038,Low-Mileage Weekend Driver,45,36578.0,5289.0,1.91,1.75,4.9,1.9,0.78,7.0,90.7,Elite Safe (Top 15%),1536.79,1064.92,471.87,30.7,0,0.0
DRV-1039,Aggressive Speedster,22,20185.0,19382.0,5.4,4.7,22.6,5.5,5.08,29.4,36.6,High Risk (Non-Standard),1409.69,1976.12,-566.43,-40.2,0,0.0
DRV-1040,Night Shift Worker,36,44564.0,14592.0,1.81,1.48,4.7,2.9,2.07,60.8,80.7,Low Risk (Preferred),1747.27,1581.74,165.53,9.5,0,0.0
DRV-1041,Safe Commuter,61,34768.0,11323.0,0.91,1.23,1.4,0.4,0.57,4.7,99.3,Elite Safe (Top 15%),1486.92,1051.24,435.68,29.3,0,0.0
DRV-1042,Distracted Urbanite,35,32240.0,13063.0,5.87,3.66,16.3,11.4,4.74,15.4,34.8,High Risk (Non-Standard),1415.72,1716.24,-300.52,-21.2,0,0.0
DRV-1043,Safe Commuter,45,27591.0,12829.0,0.87,0.96,2.0,0.3,0.43,3.4,100.0,Elite Safe (Top 15%),1279.44,929.64,349.8,27.3,0,0.0
DRV-1044,Safe Commuter,42,42987.0,10915.0,0.47,0.59,2.5,0.7,0.57,2.3,100.0,Elite Safe (Top 15%),1706.83,1187.09,519.74,30.5,0,0.0
DRV-1045,Distracted Urbanite,21,46603.0,14284.0,6.03,3.37,8.1,9.8,4.38,16.5,44.0,High Risk (Non-Standard),2428.42,2868.49,-440.07,-18.1,0,0.0
DRV-1046,Distracted Urbanite,38,41944.0,13999.0,6.46,3.62,10.7,10.9,3.47,14.7,42.0,High Risk (Non-Standard),1679.79,1995.33,-315.54,-18.8,0,0.0
DRV-1047,Distracted Urbanite,25,44006.0,14904.0,5.26,4.59,13.9,12.3,2.71,12.3,41.1,High Risk (Non-Standard),1733.02,2119.03,-386.01,-22.3,0,0.0
DRV-1048,Safe Commuter,48,20457.0,10058.0,0.66,1.09,2.3,1.4,0.87,3.3,99.0,Elite Safe (Top 15%),1053.34,724.92,328.42,31.2,1,4056.12
DRV-1049,Aggressive Speedster,24,36640.0,15794.0,4.77,7.35,22.9,4.2,4.47,29.3,41.6,High Risk (Non-Standard),2076.95,2588.44,-511.49,-24.6,0,0.0
DRV-1050,Low-Mileage Weekend Driver,39,21436.0,5474.0,1.11,1.44,5.1,1.1,1.11,7.5,95.0,Elite Safe (Top 15%),1085.83,735.54,350.29,32.3,0,0.0
DRV-1051,Aggressive Speedster,20,35763.0,18629.0,8.22,6.02,42.9,6.3,6.34,18.4,32.9,High Risk (Non-Standard),2498.83,3523.69,-1024.86,-41.0,0,0.0
DRV-1052,Safe Commuter,47,29117.0,13251.0,0.96,0.51,4.4,1.5,0.48,4.1,98.0,Elite Safe (Top 15%),1325.0,991.54,333.46,25.2,0,0.0
DRV-1053,Safe Commuter,54,40014.0,13112.0,0.42,1.26,3.2,1.5,0.77,4.2,98.3,Elite Safe (Top 15%),1629.14,1211.72,417.42,25.6,0,0.0
DRV-1054,Safe Commuter,62,26368.0,12873.0,0.81,1.14,3.1,0.7,0.4,6.7,98.6,Elite Safe (Top 15%),1242.28,916.3,325.98,26.2,0,0.0
DRV-1055,Distracted Urbanite,33,35885.0,11682.0,5.13,3.25,12.9,9.8,3.15,10.8,48.7,Elevated Risk (Substandard),1517.8,1623.12,-105.32,-6.9,0,0.0
DRV-1056,Night Shift Worker,36,41788.0,11428.0,2.35,1.59,7.8,2.9,1.78,49.7,76.6,Low Risk (Preferred),1675.73,1453.21,222.52,13.3,0,0.0
DRV-1057,Safe Commuter,43,39086.0,10531.0,0.94,0.83,2.9,0.9,0.8,3.7,100.0,Elite Safe (Top 15%),1604.48,1105.89,498.59,31.1,0,0.0
DRV-1058,Safe Commuter,35,26295.0,12606.0,0.65,1.07,4.3,1.3,0.35,5.7,97.7,Elite Safe (Top 15%),1240.05,917.28,322.77,26.0,0,0.0
DRV-1059,Distracted Urbanite,30,19365.0,14903.0,6.25,3.18,11.6,9.4,4.27,9.3,45.5,Elevated Risk (Substandard),1016.44,1207.7,-191.26,-18.8,1,2251.12
DRV-1060,Aggressive Speedster,29,19541.0,20948.0,6.46,7.05,35.2,6.8,4.99,18.1,32.1,High Risk (Non-Standard),1022.43,1527.72,-505.29,-49.4,0,0.0
DRV-1061,Low-Mileage Weekend Driver,36,47818.0,4902.0,0.9,1.36,2.2,1.1,1.06,4.8,98.3,Elite Safe (Top 15%),1829.17,1207.86,621.31,34.0,0,0.0
DRV-1062,Distracted Urbanite,28,19807.0,13878.0,4.76,4.59,11.0,11.7,3.57,13.7,43.5,High Risk (Non-Standard),1031.46,1209.63,-178.17,-17.3,0,0.0
DRV-1063,Safe Commuter,41,38681.0,12128.0,0.59,0.47,1.8,1.1,0.33,4.0,99.8,Elite Safe (Top 15%),1593.65,1142.07,451.58,28.3,0,0.0
DRV-1064,Safe Commuter,46,37835.0,12535.0,1.07,0.81,3.4,1.7,0.83,5.1,97.7,Elite Safe (Top 15%),1570.91,1160.14,410.77,26.1,0,0.0
DRV-1065,Low-Mileage Weekend Driver,66,42727.0,4287.0,1.01,0.92,2.6,0.9,1.29,6.6,98.0,Elite Safe (Top 15%),1700.11,1124.66,575.45,33.8,0,0.0
DRV-1066,Low-Mileage Weekend Driver,61,30961.0,5910.0,1.78,1.73,4.0,1.6,0.58,3.2,93.6,Elite Safe (Top 15%),1378.95,947.38,431.57,31.3,0,0.0
DRV-1067,Safe Commuter,33,35287.0,10145.0,1.04,1.17,3.1,0.2,0.81,6.1,98.6,Elite Safe (Top 15%),1501.31,1039.37,461.94,30.8,0,0.0
DRV-1068,Safe Commuter,61,28439.0,12258.0,1.31,0.56,3.0,1.2,0.59,2.5,98.4,Elite Safe (Top 15%),1304.86,951.01,353.85,27.1,0,0.0
DRV-1069,Night Shift Worker,34,27436.0,12649.0,2.31,1.35,8.7,3.1,1.66,48.6,76.5,Low Risk (Preferred),1274.76,1140.81,133.95,10.5,0,0.0
DRV-1070,Aggressive Speedster,25,36679.0,20919.0,7.8,4.0,42.0,6.8,3.95,23.8,33.9,High Risk (Non-Standard),1539.54,2272.99,-733.45,-47.6,0,0.0
DRV-1071,Low-Mileage Weekend Driver,35,36266.0,4212.0,1.57,1.71,3.8,2.0,0.62,8.8,92.1,Elite Safe (Top 15%),1528.25,1043.28,484.97,31.7,0,0.0
DRV-1072,Safe Commuter,28,32951.0,11761.0,0.4,1.29,4.2,0.9,0.29,6.2,97.7,Elite Safe (Top 15%),1435.94,1041.76,394.18,27.5,0,0.0
DRV-1073,Low-Mileage Weekend Driver,49,40389.0,4954.0,1.48,1.17,3.8,1.0,0.69,6.6,96.2,Elite Safe (Top 15%),1639.05,1095.77,543.28,33.1,0,0.0
DRV-1074,Safe Commuter,54,37798.0,10699.0,1.17,0.64,1.0,1.4,0.87,4.9,98.1,Elite Safe (Top 15%),1569.91,1106.63,463.28,29.5,0,0.0
DRV-1075,Low-Mileage Weekend Driver,62,35154.0,4708.0,1.57,1.25,3.8,1.3,0.69,7.2,94.9,Elite Safe (Top 15%),1497.63,1005.58,492.05,32.9,0,0.0
DRV-1076,Distracted Urbanite,22,22563.0,11591.0,5.06,4.6,11.8,14.9,4.48,14.5,39.2,High Risk (Non-Standard),1515.52,1717.78,-202.26,-13.3,0,0.0
DRV-1077,Safe Commuter,49,37643.0,13349.0,1.26,0.8,2.8,0.9,0.78,4.0,99.0,Elite Safe (Top 15%),1565.72,1162.56,403.16,25.7,0,0.0
DRV-1078,Low-Mileage Weekend Driver,48,27500.0,4685.0,1.77,1.38,5.4,2.2,1.36,5.3,90.7,Elite Safe (Top 15%),1276.69,876.48,400.21,31.3,0,0.0
DRV-1079,Distracted Urbanite,38,20953.0,10179.0,3.73,3.95,17.2,15.0,4.37,12.3,42.9,High Risk (Non-Standard),1069.87,1138.74,-68.87,-6.4,0,0.0
DRV-1080,Aggressive Speedster,26,25326.0,15331.0,5.7,4.1,29.5,4.3,4.77,22.3,38.5,High Risk (Non-Standard),1210.15,1520.74,-310.59,-25.7,0,0.0
DRV-1081,Night Shift Worker,35,31834.0,11850.0,1.33,2.05,7.1,2.0,2.1,39.3,81.3,Low Risk (Preferred),1404.1,1183.97,220.13,15.7,0,0.0
DRV-1082,Safe Commuter,28,26975.0,13495.0,0.81,0.66,2.9,0.3,0.96,6.9,98.6,Elite Safe (Top 15%),1260.8,942.97,317.83,25.2,0,0.0
DRV-1083,Night Shift Worker,53,47781.0,15227.0,1.52,1.46,6.4,2.0,1.69,52.2,83.0,Low Risk (Preferred),1828.25,1646.16,182.09,10.0,0,0.0
DRV-1084,Aggressive Speedster,29,42985.0,17166.0,4.53,7.03,39.9,9.8,6.26,27.7,29.9,High Risk (Non-Standard),1706.77,2367.41,-660.64,-38.7,0,0.0
DRV-1085,Distracted Urbanite,28,43150.0,13035.0,4.66,3.96,14.2,12.4,4.3,14.6,40.6,High Risk (Non-Standard),1711.03,1999.4,-288.37,-16.9,0,0.0
DRV-1086,Aggressive Speedster,29,30465.0,14315.0,7.65,4.12,30.4,4.8,6.26,20.6,36.5,High Risk (Non-Standard),1364.55,1691.95,-327.4,-24.0,0,0.0
DRV-1087,Distracted Urbanite,32,40397.0,12654.0,6.51,4.41,10.6,13.6,3.7,16.1,37.5,High Risk (Non-Standard),1639.26,1933.15,-293.89,-17.9,0,0.0
DRV-1088,Safe Commuter,32,28973.0,9704.0,1.36,1.17,3.5,1.8,0.97,6.0,95.3,Elite Safe (Top 15%),1320.74,937.17,383.57,29.0,0,0.0
DRV-1089,Safe Commuter,62,38245.0,9618.0,0.71,1.07,1.9,0.8,0.71,3.9,99.9,Elite Safe (Top 15%),1581.95,1074.78,507.17,32.1,0,0.0
DRV-1090,Night Shift Worker,44,22193.0,15576.0,1.55,1.08,8.1,3.3,1.36,47.2,80.7,Low Risk (Preferred),1110.61,1028.43,82.18,7.4,0,0.0
DRV-1091,Safe Commuter,59,34206.0,9581.0,0.56,0.88,2.4,0.8,0.96,5.5,99.1,Elite Safe (Top 15%),1471.25,1006.86,464.39,31.6,0,0.0
DRV-1092,Distracted Urbanite,34,31341.0,13275.0,6.25,3.92,17.4,9.2,4.23,10.2,39.9,High Risk (Non-Standard),1389.93,1641.8,-251.87,-18.1,0,0.0
DRV-1093,Low-Mileage Weekend Driver,55,31642.0,5406.0,2.17,1.03,3.6,1.1,0.62,8.1,93.1,Elite Safe (Top 15%),1398.59,957.39,441.2,31.5,0,0.0
DRV-1094,Night Shift Worker,25,35591.0,11253.0,1.73,2.19,7.9,1.9,2.0,51.6,79.2,Low Risk (Preferred),1509.7,1276.15,233.55,15.5,0,0.0
DRV-1095,Safe Commuter,37,21298.0,12943.0,0.96,0.65,4.4,1.8,0.63,6.0,96.8,Elite Safe (Top 15%),1081.29,813.13,268.16,24.8,0,0.0
DRV-1096,Safe Commuter,50,40370.0,12950.0,0.56,0.69,1.6,0.3,0.79,4.6,99.8,Elite Safe (Top 15%),1638.55,1196.2,442.35,27.0,0,0.0
DRV-1097,Distracted Urbanite,37,27049.0,12968.0,4.99,3.01,14.2,12.8,4.77,14.6,40.3,High Risk (Non-Standard),1263.04,1476.07,-213.03,-16.9,0,0.0
DRV-1098,Safe Commuter,58,22450.0,13236.0,0.77,0.5,3.5,0.9,0.92,3.6,99.4,Elite Safe (Top 15%),1118.95,825.42,293.53,26.2,0,0.0
DRV-1099,Night Shift Worker,44,37641.0,12905.0,2.16,1.35,6.5,2.4,1.95,38.4,79.4,Low Risk (Preferred),1565.67,1376.64,189.03,12.1,0,0.0
DRV-1100,Night Shift Worker,37,27376.0,13150.0,2.62,1.5,8.1,2.3,1.88,44.4,76.4,Low Risk (Preferred),1272.95,1154.24,118.71,9.3,0,0.0
DRV-1101,Aggressive Speedster,29,34691.0,21384.0,4.77,6.91,24.1,4.6,5.79,28.8,39.0,High Risk (Non-Standard),1484.78,2143.05,-658.27,-44.3,0,0.0
DRV-1102,Night Shift Worker,45,26629.0,14350.0,1.86,2.05,8.7,2.3,2.1,36.5,77.5,Low Risk (Preferred),1250.26,1156.3,93.96,7.5,0,0.0
DRV-1103,Safe Commuter,60,35223.0,10064.0,1.02,0.6,1.4,1.6,0.49,5.8,98.1,Elite Safe (Top 15%),1499.54,1041.1,458.44,30.6,0,0.0
DRV-1104,Distracted Urbanite,38,28195.0,10131.0,6.57,4.41,10.7,8.4,4.26,11.1,44.8,High Risk (Non-Standard),1297.57,1362.79,-65.22,-5.0,1,9364.49
DRV-1105,Night Shift Worker,49,22722.0,11348.0,2.39,2.17,4.5,2.6,1.45,48.6,78.9,Low Risk (Preferred),1127.74,957.93,169.81,15.1,0,0.0
DRV-1106,Safe Commuter,33,36212.0,13417.0,0.47,1.08,1.2,0.3,0.55,4.1,99.8,Elite Safe (Top 15%),1526.77,1126.22,400.55,26.2,0,0.0
DRV-1107,Safe Commuter,60,29858.0,9569.0,0.77,0.65,3.4,1.0,0.73,2.2,99.7,Elite Safe (Top 15%),1346.82,916.58,430.24,31.9,0,0.0
DRV-1108,Safe Commuter,47,21876.0,13727.0,1.14,1.09,2.0,0.4,0.6,4.2,99.2,Elite Safe (Top 15%),1100.27,822.16,278.11,25.3,0,0.0
DRV-1109,Safe Commuter,50,35202.0,9360.0,1.25,0.44,1.1,1.7,0.89,4.9,97.2,Elite Safe (Top 15%),1498.96,1042.07,456.89,30.5,0,0.0
DRV-1110,Low-Mileage Weekend Driver,39,31101.0,4918.0,2.15,0.81,5.8,1.6,1.19,5.2,91.1,Elite Safe (Top 15%),1383.0,950.79,432.21,31.3,0,0.0
DRV-1111,Low-Mileage Weekend Driver,57,21421.0,5334.0,1.35,0.97,3.4,1.4,0.67,6.1,96.8,Elite Safe (Top 15%),1085.34,726.24,359.1,33.1,0,0.0
DRV-1112,Aggressive Speedster,24,22586.0,16809.0,8.33,6.26,25.4,4.6,4.49,17.9,37.1,High Risk (Non-Standard),1516.52,1994.31,-477.79,-31.5,0,0.0
DRV-1113,Safe Commuter,59,27696.0,11320.0,0.92,0.92,3.4,1.6,0.71,6.9,97.5,Elite Safe (Top 15%),1282.6,922.78,359.82,28.1,0,0.0
DRV-1114,Safe Commuter,56,31557.0,9341.0,0.79,0.67,2.0,0.3,0.61,3.6,100.0,Elite Safe (Top 15%),1396.15,946.04,450.11,32.2,0,0.0
DRV-1115,Distracted Urbanite,23,40168.0,13223.0,6.73,2.71,13.9,10.1,3.95,17.5,41.0,High Risk (Non-Standard),2204.84,2582.78,-377.94,-17.1,1,10869.27
DRV-1116,Night Shift Worker,36,39429.0,12608.0,1.96,1.18,4.3,1.7,2.08,45.3,83.1,Low Risk (Preferred),1613.62,1365.1,248.52,15.4,0,0.0
DRV-1117,Safe Commuter,43,41234.0,12538.0,1.39,0.87,3.1,0.8,0.93,3.9,98.1,Elite Safe (Top 15%),1661.25,1222.12,439.13,26.4,0,0.0
DRV-1118,Safe Commuter,49,44198.0,9330.0,0.4,1.01,2.0,1.4,0.73,6.5,98.3,Elite Safe (Top 15%),1737.93,1195.74,542.19,31.2,0,0.0
DRV-1119,Night Shift Worker,33,34768.0,15584.0,1.7,1.79,7.3,1.8,1.85,37.5,81.0,Low Risk (Preferred),1486.92,1373.56,113.36,7.6,0,0.0
DRV-1120,Safe Commuter,36,28855.0,12351.0,1.21,1.06,3.4,1.0,0.72,4.1,98.7,Elite Safe (Top 15%),1317.24,959.22,358.02,27.2,0,0.0
DRV-1121,Safe Commuter,41,33231.0,10709.0,1.14,0.57,4.5,0.4,0.44,5.9,97.6,Elite Safe (Top 15%),1443.85,1022.93,420.92,29.2,0,0.0
DRV-1122,Distracted Urbanite,37,41133.0,10189.0,4.61,4.26,9.3,10.0,2.91,16.3,49.4,Elevated Risk (Substandard),1658.61,1693.96,-35.35,-2.1,0,0.0
DRV-1123,Safe Commuter,56,25020.0,9218.0,0.7,1.05,4.4,1.2,0.8,5.9,97.8,Elite Safe (Top 15%),1200.62,829.03,371.59,30.9,0,0.0
DRV-1124,Aggressive Speedster,31,29456.0,17752.0,7.84,5.29,43.8,9.9,5.05,19.8,25.8,High Risk (Non-Standard),1335.01,1925.04,-590.03,-44.2,0,0.0
DRV-1125,Aggressive Speedster,32,39342.0,15598.0,6.92,7.06,23.2,6.9,4.8,30.9,31.0,High Risk (Non-Standard),1611.3,2135.43,-524.13,-32.5,0,0.0
DRV-1126,Safe Commuter,33,31534.0,12816.0,0.6,1.21,1.5,0.9,0.96,3.1,99.3,Elite Safe (Top 15%),1395.49,1020.82,374.67,26.8,0,0.0
DRV-1127,Safe Commuter,31,39441.0,10982.0,0.71,0.75,1.3,0.6,0.45,2.5,100.0,Elite Safe (Top 15%),1613.94,1124.24,489.7,30.3,0,0.0
DRV-1128,Safe Commuter,30,20377.0,10434.0,1.21,1.03,1.5,1.3,0.56,2.0,98.6,Elite Safe (Top 15%),1050.66,732.42,318.24,30.3,0,0.0
DRV-1129,Distracted Urbanite,38,37169.0,14701.0,5.51,3.47,15.8,8.9,2.8,10.4,47.1,Elevated Risk (Substandard),1552.88,1816.33,-263.45,-17.0,0,0.0
DRV-1130,Safe Commuter,59,25217.0,11984.0,0.32,0.86,1.8,0.4,0.54,5.1,99.6,Elite Safe (Top 15%),1206.76,863.69,343.07,28.4,0,0.0
DRV-1131,Night Shift Worker,29,44200.0,13617.0,1.78,2.14,6.7,3.1,1.61,35.6,78.5,Low Risk (Preferred),1737.98,1566.41,171.57,9.9,1,2854.63
DRV-1132,Low-Mileage Weekend Driver,33,22002.0,4750.0,0.89,0.89,4.6,1.0,1.08,7.5,97.0,Elite Safe (Top 15%),1104.39,733.45,370.94,33.6,0,0.0
DRV-1133,Safe Commuter,39,46308.0,13152.0,1.05,1.28,2.7,0.5,0.31,5.6,98.6,Elite Safe (Top 15%),1791.42,1329.63,461.79,25.8,1,1745.56
DRV-1134,Distracted Urbanite,22,26583.0,11578.0,4.52,3.42,16.2,10.8,2.59,14.5,46.3,Elevated Risk (Substandard),1685.96,1826.26,-140.3,-8.3,0,0.0
DRV-1135,Safe Commuter,49,23605.0,10366.0,1.18,0.79,2.4,0.9,0.97,3.7,99.0,Elite Safe (Top 15%),1156.04,801.47,354.57,30.7,0,0.0
DRV-1136,Low-Mileage Weekend Driver,65,21078.0,4434.0,0.92,1.11,3.7,2.5,0.68,4.8,96.2,Elite Safe (Top 15%),1074.01,715.19,358.82,33.4,0,0.0
DRV-1137,Safe Commuter,56,47945.0,12013.0,0.77,1.02,2.2,0.3,0.9,3.8,99.8,Elite Safe (Top 15%),1832.33,1309.68,522.65,28.5,0,0.0
DRV-1138,Aggressive Speedster,19,36227.0,14600.0,7.05,5.27,40.4,8.1,6.37,17.4,30.0,High Risk (Non-Standard),2519.85,3274.86,-755.01,-30.0,0,0.0
DRV-1139,Safe Commuter,32,29129.0,10180.0,1.01,0.73,4.3,0.3,0.32,4.2,98.9,Elite Safe (Top 15%),1325.35,915.67,409.68,30.9,0,0.0
DRV-1140,Safe Commuter,36,29610.0,11647.0,0.74,0.98,1.9,0.4,0.79,4.5,99.8,Elite Safe (Top 15%),1339.54,949.46,390.08,29.1,0,0.0
DRV-1141,Safe Commuter,44,20222.0,12520.0,0.54,0.95,3.4,1.8,0.36,2.7,98.3,Elite Safe (Top 15%),1045.46,767.27,278.19,26.6,0,0.0
DRV-1142,Distracted Urbanite,23,26999.0,14053.0,6.69,4.77,14.7,12.7,3.87,10.9,35.5,High Risk (Non-Standard),1703.06,2110.35,-407.29,-23.9,0,0.0
DRV-1143,Distracted Urbanite,26,34621.0,13968.0,5.18,2.78,10.0,8.1,4.48,8.3,53.1,Elevated Risk (Substandard),1482.83,1634.59,-151.76,-10.2,0,0.0
DRV-1144,Distracted Urbanite,38,30283.0,10649.0,6.42,2.65,12.0,12.7,3.7,12.1,41.5,High Risk (Non-Standard),1359.25,1479.17,-119.92,-8.8,0,0.0
DRV-1145,Safe Commuter,48,23459.0,12212.0,0.79,1.01,2.2,1.6,0.82,5.2,98.4,Elite Safe (Top 15%),1151.39,838.28,313.11,27.2,0,0.0
DRV-1146,Low-Mileage Weekend Driver,35,33567.0,6410.0,1.53,0.96,2.6,2.4,0.73,8.7,93.5,Elite Safe (Top 15%),1453.33,1005.7,447.63,30.8,0,0.0
